DOI	TYPE	SUBJECT(S)	DATE	ARTICLE ID	VERSION
https://doi.org/10.7554/eLife.01071	research article	Structural Biology and Molecular Biophysics, Cell Biology	2013-09-17	01071	v1
https://doi.org/10.7554/eLife.01074	research article	Microbiology and Infectious Disease	2013-09-17	01074	v1
https://doi.org/10.7554/eLife.01084	research article	Biochemistry and Chemical Biology, Structural Biology and Molecular Biophysics	2013-08-27	01084	v1
https://doi.org/10.7554/eLife.01085	research article	Biochemistry and Chemical Biology, Structural Biology and Molecular Biophysics	2013-11-28	01085	v1
https://doi.org/10.7554/eLife.01086	research article	Immunology and Inflammation, Microbiology and Infectious Disease	2013-11-12	01086	v1
https://doi.org/10.7554/eLife.01089	insight	Structural Biology and Molecular Biophysics	2013-07-16	01089	v1
https://doi.org/10.7554/eLife.01096	research article	Biochemistry and Chemical Biology, Ecology	2013-12-03	01096	v1
https://doi.org/10.7554/eLife.01098	research article	Chromosomes and Gene Expression	2013-10-29	01098	v1
https://doi.org/10.7554/eLife.01102	research article	Microbiology and Infectious Disease	2013-10-01	01102	v1
https://doi.org/10.7554/eLife.01104	research article	Ecology, Microbiology and Infectious Disease	2013-10-15	01104	v1
https://doi.org/10.7554/eLife.01108	correction	Genetics and Genomics	2013-07-02	01108	v1
https://doi.org/10.7554/eLife.01114	correction	Chromosomes and Gene Expression, Evolutionary Biology	2013-07-02	01114	v1
https://doi.org/10.7554/eLife.01115	insight	Stem Cells and Regenerative Medicine, Microbiology and Infectious Disease	2013-07-30	01115	v1
https://doi.org/10.7554/eLife.01119	research article	Cell Biology	2013-12-24	01119	v1
